نسبة الماء,نسبة الرطوبة,درجة الحرارة,تربة,تصنيف التضاريس
منخفضة,منخفضة,منخفضة,جافة,صحراوية
منخفضة,مرتفعة,معتدلة,طينية,نهرية
منخفضة,معتدلة,مرتفعة,جافة,صحراوية
متوسطة,منخفضة,منخفضة,جافة,صحراوية
متوسطة,معتدلة,معتدلة,رطبة,نهرية
متوسطة,مرتفعة,معتدلة,طينية,نهرية
مرتفعة,منخفضة,منخفضة,جافة,صحراوية
مرتفعة,منخفضة,منخفضة,جافة,صحراوية
مرتفعة,مرتفعة,معتدلة,طينية,نهرية
مرتفعة,معتدلة,معتدلة,طينية,نهرية
منخفضة,منخفضة,منخفضة,جافة,صحراوية
منخفضة,مرتفعة,معتدلة,طينية,نهرية
منخفضة,معتدلة,مرتفعة,جافة,صحراوية
متوسطة,منخفضة,منخفضة,جافة,صحراوية
متوسطة,معتدلة,معتدلة,رطبة,نهرية
متوسطة,مرتفعة,معتدلة,طينية,نهرية
مرتفعة,منخفضة,منخفضة,جافة,صحراوية
مرتفعة,منخفضة,منخفضة,جافة,صحراوية
مرتفعة,مرتفعة,معتدلة,طينية,نهرية
مرتفعة,معتدلة,معتدلة,طينية,نهرية
متوسطة,منخفضة,منخفضة,جافة,صحراوية
متوسطة,معتدلة,معتدلة,جافة,سهلية
منخفضة,معتدلة,معتدلة,طينية,نهرية
منخفضة,منخفضة,معتدلة,جافة,سهلية
منخفضة,مرتفعة,مرتفعة,رطبة,نهرية
متوسطة,معتدلة,معتدلة,طينية,نهرية
متوسطة,منخفضة,منخفضة,طينية,نهرية
متوسطة,مرتفعة,معتدلة,جافة,صحراوية
مرتفعة,منخفضة,منخفضة,جافة,صحراوية
مرتفعة,منخفضة,منخفضة,جافة,صحراوية
مرتفعة,مرتفعة,معتدلة,طينية,نهرية
مرتفعة,معتدلة,معتدلة,رطبة,نهرية
منخفضة,منخفضة,منخفضة,جافة,صحراوية
منخفضة,معتدلة,معتدلة,رطبة,نهرية
منخفضة,مرتفعة,مرتفعة,جافة,صحراوية
متوسطة,مرتفعة,مرتفعة,جافة,صحراوية
مرتفعة,منخفضة,منخفضة,جافة,صحراوية
منخفضة,منخفضة,معتدلة,جافة,سهلية
منخفضة,معتدلة,معتدلة,طينية,نهرية
متوسطة,مرتفعة,معتدلة,طينية,نهرية
مرتفعة,منخفضة,منخفضة,جافة,صحراوية
مرتفعة,معتدلة,معتدلة,طينية,نهرية
مرتفعة,منخفضة,منخفضة,جافة,صحراوية
متوسطة,معتدلة,معتدلة,جافة,سهلية
متوسطة,مرتفعة,معتدلة,طينية,نهرية
مرتفعة,منخفضة,منخفضة,جافة,صحراوية
مرتفعة,منخفضة,منخفضة,جافة,صحراوية
مرتفعة,مرتفعة,معتدلة,رطبة,نهرية
مرتفعة,معتدلة,معتدلة,طينية,نهرية
منخفضة,منخفضة,منخفضة,جافة,صحراوية
منخفضة,معتدلة,معتدلة,رطبة,نهرية
منخفضة,مرتفعة,مرتفعة,جافة,صحراوية
مرتفعة,مرتفعة,معتدلة,رملية,بحرية
مرتفعة,معتدلة,معتدلة,رملية,بحرية
متوسطة,منخفضة,منخفضة,رملية,بحرية
منخفضة,مرتفعة,معتدلة,طينية,بحرية
منخفضة,منخفضة,منخفضة,طينية,بحرية
مرتفعة,منخفضة,معتدلة,طينية,بحرية
منخفضة,منخفضة,معتدلة,طينية,بحرية
مرتفعة,مرتفعة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,معتدلة,طينية,بحرية
منخفضة,مرتفعة,مرتفعة,طينية,بحرية
مرتفعة,منخفضة,منخفضة,رملية,بحرية
مرتفعة,مرتفعة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,معتدلة,طينية,بحرية
مرتفعة,منخفضة,معتدلة,رملية,بحرية
منخفضة,منخفضة,معتدلة,رملية,بحرية
مرتفعة,معتدلة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,منخفضة,رملية,بحرية
منخفضة,منخفضة,منخفضة,رملية,بحرية
منخفضة,معتدلة,معتدلة,رملية,بحرية
مرتفعة,مرتفعة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,منخفضة,رملية,بحرية
مرتفعة,مرتفعة,معتدلة,رملية,بحرية
مرتفعة,معتدلة,معتدلة,رملية,بحرية
منخفضة,منخفضة,معتدلة,رملية,بحرية
مرتفعة,معتدلة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,معتدلة,طينية,بحرية
مرتفعة,منخفضة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,معتدلة,رملية,بحرية
منخفضة,معتدلة,معتدلة,رملية,بحرية
منخفضة,منخفضة,معتدلة,رملية,بحرية
مرتفعة,معتدلة,معتدلة,رملية,بحرية
منخفضة,منخفضة,منخفضة,رملية,بحرية
مرتفعة,معتدلة,معتدلة,رملية,بحرية
مرتفعة,مرتفعة,معتدلة,رملية,بحرية
مرتفعة,معتدلة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,معتدلة,رملية,بحرية
مرتفعة,مرتفعة,معتدلة,رملية,بحرية
منخفضة,منخفضة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,معتدلة,طينية,بحرية
مرتفعة,منخفضة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,معتدلة,طينية,بحرية
منخفضة,مرتفعة,معتدلة,رملية,بحرية
مرتفعة,منخفضة,معتدلة,رملية,بحرية
